[builder.pyw:538] - 2023-08-15 13:07:46,418 - INFO - Successfully removed file: ./Logger.spec
[builder.pyw:538] - 2023-08-15 13:07:46,418 - INFO - Successfully removed file: ./Logger.py
[connectionpool.py:812] - 2023-08-15 13:09:03,866 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:391] - 2023-08-15 13:09:04,091 - DEBUG - https://discord.com:443 "GET /api/webhooks/1140978192644046849/iuF-_2aLi9u2G6IPHqkQ2rEpkOXL_9ppjE2x3ZfNroKkOZk3Ur6oaJJSByay_JFu3QHw HTTP/1.1" 200 None
[builder.pyw:425] - 2023-08-15 13:09:04,964 - INFO - Retrieved filename: Logger
[builder.pyw:394] - 2023-08-15 13:09:04,964 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-15 13:09:04,964 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-15 13:09:04,965 - INFO - Successfully changed config
[builder.pyw:489] - 2023-08-15 13:10:12,341 - INFO - Successfully compiled Logger.exe with pyinstaller
[builder.pyw:529] - 2023-08-15 13:10:12,468 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-15 13:10:12,468 - INFO - Successfully removed file: ./tools/upx.exe
[builder.pyw:538] - 2023-08-15 13:10:12,469 - INFO - Successfully removed file: ./Logger.spec
[builder.pyw:538] - 2023-08-15 13:10:12,469 - INFO - Successfully removed file: ./Logger.py
[admin.py:29] - 2023-08-15 20:15:23,867 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-15 20:15:23,867 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-15 20:15:23,921 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\Rob\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'C:\\Users\\Rob\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-15 20:15:23,921 - INFO - Running command 'C:\\Users\\Rob\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - 'C:\\Users\\Rob\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2023-08-15 20:15:26,335 - INFO - isUserAdmin - CheckTokenMembership returned: True
